time,view_id,current_position_x,current_position_y,current_position_z,goal_position_x,goal_position_z,goal_position_z,positional_difference_square_magnitude
339173.22,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.69905E-10
339173.221,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.68443E-11
339173.221,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,8.470558E-12
339173.221,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.221,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,4.028655E-07
339173.221,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,1.140421E-12
339173.221,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,3.43441E-07
339173.221,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.432591E-09
339173.221,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,7.125118E-10
339173.221,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,0
339173.221,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.434029E-10
339173.221,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,4.384838E-09
339173.221,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,1.500939E-09
339173.221,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,0
339173.221,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,4.1655E-08
339173.221,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.012686E-07
339173.221,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,2.135184E-09
339173.221,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.221,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.69905E-10
339173.221,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.68443E-11
339173.221,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,8.470558E-12
339173.221,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.221,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,4.028655E-07
339173.221,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,1.140421E-12
339173.221,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,3.43441E-07
339173.221,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.432591E-09
339173.221,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,7.125118E-10
339173.221,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,0
339173.222,SceneID: 45 Level Prefix: 0,2.3, 0.5, 0.0,2.3, 0.5, 0.0,1.434029E-10
339173.222,SceneID: 43 Level Prefix: 0,-0.3, 0.5, 0.0,-0.3, 0.5, 0.0,4.384838E-09
339173.222,SceneID: 44 Level Prefix: 0,1.0, 0.5, 0.0,1.0, 0.5, 0.0,1.500939E-09
339173.222,SceneID: 15 Level Prefix: 0,-0.3, 0.5, -2.0,-0.3, 0.5, -2.0,0
339173.222,SceneID: 52 Level Prefix: 0,1.0, 1.5, 0.0,1.0, 1.5, 0.0,4.1655E-08
339173.222,SceneID: 51 Level Prefix: 0,-0.3, 1.5, 0.0,-0.3, 1.5, 0.0,1.012686E-07
339173.222,SceneID: 49 Level Prefix: 0,1.0, 1.5, -2.0,1.0, 1.5, -2.0,2.135184E-09
339173.222,SceneID: 41 Level Prefix: 0,1.0, 0.5, -4.0,1.0, 0.5, -4.0,0
339173.222,SceneID: 46 Level Prefix: 0,2.3, 1.5, -4.0,2.3, 1.5, -4.0,1.69905E-10
339173.222,SceneID: 47 Level Prefix: 0,2.3, 1.5, -2.0,2.3, 1.5, -2.0,2.68443E-11
339173.222,SceneID: 40 Level Prefix: 0,2.3, 0.5, -4.0,2.3, 0.5, -4.0,8.470558E-12
339173.222,SceneID: 54 Level Prefix: 0,1.0, 1.5, -4.0,1.0, 1.5, -4.0,0
339173.222,SceneID: 48 Level Prefix: 0,-0.3, 1.5, -4.0,-0.3, 1.5, -4.0,4.028655E-07
339173.222,SceneID: 26 Level Prefix: 0,2.3, 0.5, -2.0,2.3, 0.5, -2.0,1.140421E-12
339173.222,SceneID: 42 Level Prefix: 0,-0.3, 0.5, -4.0,-0.3, 0.5, -4.0,3.43441E-07
339173.222,SceneID: 50 Level Prefix: 0,2.3, 1.5, 0.0,2.3, 1.5, 0.0,3.432591E-09
339173.222,SceneID: 39 Level Prefix: 0,1.0, 0.5, -2.0,1.0, 0.5, -2.0,7.125118E-10
339173.222,SceneID: 53 Level Prefix: 0,-0.3, 1.5, -2.0,-0.3, 1.5, -2.0,0
